Iteration;f0;f1;f2;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;__highlight_color;__filter;nds_rank
24;0.283348;0.18750575;1.5584352;0.8633421;0.3721625;0.4925254;0.83280635;0.46209982;0.31396934;0.39825037;0.96973735;0.34174797;0.47292516;0.62705255;0.9186392;;0;49
25;0.98893875;0.43755403;0.94269794;0.4564398;0.26518777;0.8166944;0.35549235;0.800114;0.50954634;0.66463566;0.5000926;0.8266326;0.27361742;0.69098943;0.4580211;;0;15
26;1.2441747;0.48655173;0.91807604;0.38330686;0.23731855;0.93458086;0.32717213;0.638438;0.7265003;0.8227091;0.22493283;0.62778825;0.33256793;0.37295824;0.8024463;;0;25
27;0.19021752;1.4140186;1.0252063;0.3966603;0.9148713;0.56997;0.20018187;0.95358574;0.49591985;0.21912584;0.8319866;0.57659507;0.4680773;0.75651574;0.9410894;;0;32
28;0.3155164;1.4221033;1.0105202;0.38610598;0.8610071;0.7113238;0.6960501;0.21919279;0.3586829;0.9324502;0.32087967;0.9951143;0.37272066;0.17538999;0.5717604;;0;29
29;0.11928731;0.020637996;1.6719222;0.9539843;0.109062485;0.26138172;0.73669976;0.1456495;0.6345544;0.6109394;0.07317958;0.29941845;0.65683365;0.4658285;0.89897865;;0;46
30;0.19823526;0.7994881;1.0817175;0.58568585;0.84526896;0.5537924;0.80609983;0.507223;0.539526;0.6903797;0.10744812;0.43227214;0.38368762;0.5124319;0.72980946;;0;40
31;0.00409281;1.3613012;1.151717;0.44702744;0.998086;0.63114226;0.21154097;0.5404165;0.24423848;0.80489784;0.8453178;0.5431416;0.7800988;0.0033941101;0.22332244;;0;44
32;0.24574505;0.0069108754;1.7416605;0.9107284;0.017898388;0.76828325;0.59669906;0.7477259;0.0044365246;0.66526526;0.31502923;0.7673262;0.9272644;0.6368422;0.30927217;;0;51
33;1.2535571;0.44148013;0.74793005;0.32632568;0.21557045;0.065723434;0.32727996;0.3067212;0.5395427;0.53241396;0.203419;0.45831951;0.24622199;0.1987209;0.35249284;;0;24
34;0.9634053;1.3573016;0.025952015;0.009925294;0.60703415;0.39556473;0.093887515;0.90790796;0.21298788;0.46721634;0.34460512;0.19010982;0.4609915;0.6924237;0.78329813;;0;26
35;0.49277198;0.023003193;1.7707971;0.82703584;0.029696623;0.02756306;0.30879405;0.9185226;0.632952;0.59884584;0.5865212;0.119532265;0.7239325;0.36910304;0.10460071;;0;52
36;2.1601112;0.055713896;0.1872253;0.055022564;0.016416147;0.82899505;0.90364605;0.9616875;0.7882556;0.21070936;0.19676937;0.63468343;0.7891623;0.073471;0.87708306;;0;25
37;1.033651;1.6219833;0.028468171;0.009422156;0.63879573;0.7324965;0.83254516;0.17461126;0.80901223;0.2774328;0.9442895;0.0333387;0.33670884;0.7162491;0.3606418;;0;31
38;0.7125133;1.8898057;0.3881385;0.12087177;0.7704673;0.8012929;0.9802913;0.46015012;0.009969516;0.14474767;0.30797973;0.12585858;0.45128682;0.067159;0.5257739;;0;35
39;0.039167803;0.12514138;2.181865;0.9617858;0.80689424;0.17985319;0.9388191;0.0068573207;0.9487317;0.34035158;0.8622905;0.49634933;0.88145185;0.56161356;0.12564899;;0;50
40;0.4370668;1.5448762;0.79845625;0.29380175;0.8244784;0.37475845;0.43082586;0.819753;0.9843742;0.98746943;0.44768733;0.46326837;0.09524257;0.40840963;0.3522235;;0;33
41;1.4992138;1.0141032;0.116214834;0.0408198;0.3786148;0.5144029;0.7509326;0.4431531;0.48241633;0.2939817;0.0011278694;0.23888323;0.9592618;0.62415934;0.09855105;;0;23
42;1.2425168;0.82917786;0.45502824;0.18823911;0.3746296;0.31021455;0.51400274;0.4681905;0.13350521;0.31834707;0.65487266;0.21419032;0.89723605;0.7030698;0.72869086;;0;26
43;1.6357204;0.69501394;0.31827196;0.11281066;0.25578368;0.40314114;0.21864092;0.6090101;0.22127211;0.66804934;0.83611983;0.39828524;0.89374554;0.1803827;0.032394722;;0;26
44;0.86798936;1.3692611;0.3385828;0.13107234;0.6403217;0.2866712;0.34830162;0.73946494;0.3608782;0.6389117;0.3190286;0.6774724;0.15062688;0.06737547;0.1562161;;0;27
45;0.9912489;1.83452;0.1808999;0.05509165;0.68462497;0.87849545;0.8725425;0.15255783;0.97219557;0.16149528;0.20465605;0.26542038;0.69741374;0.09546198;0.5884958;;0;34
46;1.7461253;0.117432885;0.4315729;0.15392141;0.04275047;0.8023015;0.062709026;0.36151108;0.19150685;0.50622946;0.70141476;0.39633322;0.8010092;0.89136523;0.8322868;;0;25
47;0.123286;0.9064349;1.3254066;0.6154111;0.91394013;0.6594825;0.78112364;0.36742547;0.070240565;0.5140101;0.35558522;0.69361985;0.5613721;0.975009;0.62557006;;0;47
48;1.1090915;1.1233504;0.28583285;0.114035;0.5040661;0.49398637;0.34087238;0.9443536;0.7498872;0.604342;0.8591358;0.751883;0.17715351;0.42188287;0.4266432;;0;23
49;1.4194832;0.38432106;0.9555788;0.36683908;0.16832744;0.84849805;0.881229;0.37479532;0.73671937;0.28787377;0.55403095;0.034347396;0.7975247;0.263115;0.57682985;;0;25
50;0.31932443;0.20512204;1.996067;0.88038164;0.36350188;0.591567;0.8920684;0.95555466;0.9098977;0.96807194;0.5244557;0.85273385;0.41688836;0.151715;0.35215092;;0;52
51;0.763738;0.2708403;1.6549246;0.71012396;0.21695289;0.51889205;0.0051229345;0.18029088;0.5567198;0.5702582;0.7618134;0.6284147;0.73945594;0.8905395;0.93834203;;0;51
52;1.0488198;1.2220654;1.2713741;0.42544296;0.5484738;0.120105244;0.6924702;0.8056465;0.22470668;0.85866374;0.041520443;0.13818093;0.82512814;0.31703475;0.80378;;0;48
53;0.52321494;1.4038537;0.40963066;0.16991048;0.77288467;0.19531904;0.6618334;0.5869154;0.8449658;0.0097206915;0.7463627;0.49457955;0.45374495;0.4352878;0.48677358;;0;31
54;0.1606766;0.57475257;1.5161471;0.7612699;0.8264583;0.8231679;0.8751026;0.675205;0.52425164;0.44602728;0.6950305;0.36882558;0.44698718;0.10980632;0.12619324;;0;51
55;1.3434356;0.27802697;1.4386623;0.5151187;0.12991585;0.65840936;0.79564995;0.8258258;0.78176445;0.33524272;0.91827285;0.4197486;0.92991793;0.016816493;0.24891973;;0;48
56;0.5074281;1.508547;1.0857501;0.3811201;0.79342955;0.38888305;0.82598674;0.9340461;0.4090255;0.85157084;0.68199223;0.11715412;0.189174;0.44004565;0.95593864;;0;42
57;1.1887085;0.47057772;1.2511195;0.49311838;0.23996978;0.4915727;0.79173374;0.2832548;0.838392;0.8019895;0.28011405;0.6171828;0.5377252;0.0035229549;0.8754081;;0;46
58;0.47152084;0.17440541;1.8935691;0.8347893;0.22553721;0.3856273;0.6489131;0.18157774;0.16177899;0.43638417;0.6402012;0.8138198;0.99163556;0.08099506;0.9106972;;0;52
59;0.05152268;0.1137183;2.0016057;0.9603436;0.72917783;0.93715805;0.3134082;0.8491661;0.077466786;0.27434543;0.37743047;0.03369151;0.7183419;0.76078534;0.7829337;;0;50
60;0.21188276;0.4506801;1.9996397;0.8446133;0.7202211;0.8263686;0.2800619;0.07244537;0.9346567;0.5921227;0.9433744;0.34711033;0.16266817;0.7810382;0.164019;;0;52
61;1.7349405;0.3254887;0.3140456;0.112087294;0.118062556;0.5291689;0.17949785;0.31750143;0.84610456;0.2952403;0.27279168;0.4057921;0.046346948;0.23777013;0.10091449;;0;26
62;1.1845983;0.51941437;1.0632498;0.4380074;0.26306838;0.6918851;0.6316983;0.5651622;0.07159711;0.48820198;0.027378464;0.701131;0.39039677;0.13070586;0.6417404;;0;42
63;1.223179;0.8233789;1.0329835;0.3890438;0.37718156;0.074510664;0.31747326;0.47873452;0.09366293;0.51334864;0.021913534;0.8488043;0.28180018;0.567894;0.6333301;;0;36
64;0.05279084;1.4449855;1.4693217;0.50510377;0.97675216;0.87766707;0.5153981;0.7544273;0.7856605;0.8908114;0.08038002;0.023237491;0.3034531;0.8835847;0.3256881;;0;47
65;1.4081066;0.57384324;1.0128151;0.37407833;0.24635872;0.2305565;0.49053288;0.5691116;0.16866387;0.27874586;0.21836483;0.19420914;0.8033645;0.9190727;0.11231651;;0;26
66;0.99237293;0.16356252;1.7545259;0.6686334;0.103992485;0.87180865;0.98080456;0.02980849;0.5396348;0.8392683;0.15589637;0.2974867;0.7502201;0.72926664;0.29852107;;0;52
67;0.45905367;0.28652212;1.7969071;0.8137831;0.35522985;0.24888481;0.66164994;0.8340615;0.2846505;0.9295664;0.35753638;0.13272125;0.78121716;0.59378743;0.050710212;;0;52
68;1.043978;1.4646057;0.22170426;0.078079045;0.6057616;0.04359393;0.5012003;0.30375794;0.96426296;0.06840154;0.3895733;0.5702738;0.6510364;0.3146245;0.20122398;;0;32
69;1.209329;0.2789651;1.5693529;0.5740231;0.14432923;0.18429507;0.16681778;0.25686094;0.6564013;0.9410089;0.9934293;0.740552;0.1299137;0.6282284;0.73937505;;0;50
70;1.9733664;0.5364665;0.32957363;0.10172407;0.16898341;0.014285444;0.88706905;0.6807855;0.99811214;0.08315869;0.530408;0.38170677;0.6297309;0.69032437;0.90386355;;0;27
71;2.1010575;0.17093323;0.50189257;0.14880209;0.051678892;0.94914675;0.2223515;0.20494547;0.25662115;0.10368973;0.6363496;0.9024822;0.82445765;0.017484332;0.7570453;;0;27
72;0.08426529;0.28881374;2.049308;0.9072018;0.81927425;0.55917466;0.29139712;0.0802;0.7324039;0.27727577;0.9089372;0.28451005;0.9418194;0.10148081;0.07961873;;0;51
73;0.58139676;1.8412322;0.9391442;0.28819832;0.8052856;0.70497024;0.096063025;0.3088353;0.16886748;0.20696186;0.7636103;0.08991803;0.90351886;0.030702874;0.79859537;;0;35
74;0.4444102;1.6540284;1.1075096;0.3654298;0.83289725;0.23143554;0.4855198;0.83489335;0.14468688;0.42006925;0.81554604;0.069900475;0.03301291;0.8643675;0.20494346;;0;43
75;1.4017085;1.2020959;0.76012254;0.24860041;0.45129073;0.62240356;0.66613185;0.8108467;0.0042867535;0.80017656;0.05539101;0.71966773;0.43918538;0.021995043;0.7091307;;0;27
76;0.9667205;0.42542925;1.7961498;0.6615909;0.2639231;0.47950226;0.6284832;0.9888769;0.9279974;0.05248923;0.4615078;0.9836421;0.15406127;0.3798078;0.77346957;;0;53
77;1.896972;1.0038157;0.60697556;0.17546323;0.30984813;0.019179674;0.99991626;0.6391435;0.012918304;0.13844204;0.5228111;0.05355983;0.73263675;0.25079495;0.28579524;;0;28
78;1.3532687;1.3959527;0.6471409;0.20455721;0.5098833;0.33571157;0.17892161;0.038263284;0.70977753;0.06697337;0.47410807;0.3954395;0.91468984;0.2958624;0.9990547;;0;30
79;0.669906;0.6106681;1.5203729;0.6577324;0.47057167;0.978588;0.6975824;0.2569632;0.873653;0.7303574;0.25394982;0.26217532;0.41702262;0.51719725;0.8549307;;0;52
80;0.2687862;0.67616814;1.546083;0.7199658;0.7591277;0.8074196;0.23691368;0.35976818;0.18567005;0.41573128;0.15692754;0.3196007;0.99122757;0.4474483;0.34141544;;0;53
81;0.34327036;0.9756004;1.537954;0.6231145;0.7846144;0.30233577;0.11584073;0.043856535;0.92340606;0.8211137;0.10184951;0.56197274;0.60034347;0.4827601;0.559361;;0;54
82;0.88286066;0.4854982;1.9078058;0.69067377;0.32007828;0.013134261;0.5774733;0.18873958;0.9894649;0.119699225;0.8392187;0.08849219;0.30948249;0.16438033;0.5065032;;0;53
83;0.80134314;1.4940835;0.67690724;0.24183014;0.686593;0.70645607;0.119269095;0.16000374;0.9260364;0.4141612;0.8389408;0.49851045;0.06023951;0.6588283;0.50052524;;0;34
84;1.379724;1.1430593;1.0002426;0.32414386;0.44045237;0.8816081;0.53835505;0.7064496;0.8703506;0.013394267;0.4546394;0.9125621;0.6450365;0.2870067;0.0003280649;;0;27
85;0.09560249;0.18349178;2.0353913;0.93550724;0.6942187;0.9132119;0.16784944;0.27340272;0.11773536;0.545594;0.055435035;0.21483287;0.9688226;0.5971231;0.73890436;;0;51
86;0.20961875;0.600322;1.5709841;0.75515574;0.78613293;0.49290377;0.9029196;0.32475507;0.88646275;0.6282153;0.16873828;0.34583056;0.2948315;0.8678124;0.34185195;;0;52
87;0.60754305;0.5935679;1.7307193;0.70955503;0.4925931;0.9485667;0.7416207;0.019692933;0.416871;0.73553985;0.8765191;0.6174725;0.9361571;0.6065479;0.36554942;;0;52
88;0.63843334;1.5218812;0.5450882;0.20308317;0.7471313;0.22269626;0.62805325;0.075508006;0.42835173;0.9231985;0.93585974;0.30549294;0.35605583;0.33998558;0.5787817;;0;33
89;0.14167221;0.6165557;2.2165744;0.82301056;0.85621333;0.12011573;0.921861;0.12484832;0.8271061;0.86496216;0.5863664;0.94224167;0.48999774;0.04932558;0.057702802;;0;52
90;0.7592556;1.7307999;0.59853476;0.19524589;0.7368247;0.09286713;0.30434942;0.92752796;0.98921514;0.25127333;0.11893254;0.735046;0.44435558;0.7422872;0.67957604;;0;35
91;0.79398847;0.19654194;2.121994;0.7657793;0.15448196;0.8795052;0.82175255;0.20732087;0.038370863;0.056716096;0.9826392;0.0866741;0.7392837;0.51969093;0.7644743;;0;53
92;0.63858277;1.721322;0.91655415;0.29477203;0.77384394;0.88842666;0.8848276;0.06579198;0.5235584;0.44886887;0.9881157;0.33363897;0.16910619;0.5400162;0.9293332;;0;35
93;0.41646588;1.4177169;1.5867952;0.5226708;0.8181046;0.28747666;0.22286643;0.56700176;0.81541353;0.92377853;0.9982889;0.4033511;0.9823871;0.02232599;0.28973985;;0;55
94;0.4335783;0.8014945;1.5614864;0.66369975;0.6843142;0.10266391;0.34459898;0.54518497;0.1580011;0.58873624;0.43694854;0.15539962;0.09399148;0.87157506;0.7709114;;0;54
95;0.21875441;0.676989;1.8462265;0.76583916;0.80103195;0.20268333;0.08917159;0.60456127;0.060034525;0.27836362;0.9313552;0.54504114;0.46279255;0.062513314;0.20523328;;0;53
96;0.3919557;0.82931656;1.6337054;0.6743012;0.7189268;0.711538;0.95678717;0.3403565;0.7792902;0.23026171;0.30253324;0.06146742;0.30037656;0.087923884;0.5547018;;0;54
97;0.36917713;0.70135903;1.7923423;0.73493993;0.69154274;0.107441016;0.11462112;0.696688;0.65977407;0.22702464;0.75505614;0.83372;0.81431913;0.9925206;0.4750515;;0;55
98;0.49855486;0.66591114;1.6312101;0.6997772;0.5908723;0.9249816;0.4409657;0.9803753;0.29402515;0.1483845;0.3264312;0.5599547;0.47457126;0.9135978;0.2885002;;0;53
99;0.5097566;0.85441047;1.69452;0.6620119;0.6575437;0.002041812;0.5145431;0.33938587;0.5049438;0.83609515;0.76686686;0.99128747;0.258845;0.42191505;0.9485769;;0;55
100;0.91587317;1.2903355;0.020078832;0.00807786;0.60703415;0.39556473;0.093887515;0.90790796;0.21298788;0.46985096;0.6499438;0.19182608;0.45714492;0.6924237;0.4747289;;0;25
101;0.073850766;0.42121047;1.3841727;0.8092404;0.8895046;0.86653817;0.39552844;0.7406082;0.55664515;0.27353102;0.3419963;0.23738131;0.3696733;0.43492207;0.77553236;;0;48
102;1.2822366;0.18355583;1.0871432;0.44451672;0.090518944;0.47649565;0.38521096;0.91628605;0.8828516;0.17707646;0.9480251;0.6538377;0.65132606;0.54588914;0.43843895;;0;40
103;1.392493;0.028124625;0.17731895;0.08061643;0.012856265;0.3944024;0.17494422;0.22725098;0.18272515;0.44707388;0.55024976;0.7643385;0.32518104;0.45034224;0.56263417;;0;23
104;1.345089;0.053918954;0.9498921;0.39119765;0.025505751;0.4081665;0.43901628;0.7403895;0.9280201;0.36890042;0.87311554;0.2037822;0.33847293;0.50395644;0.14762363;;0;23
105;0.10297813;0.21557681;1.6925474;0.9107284;0.71629804;0.76828325;0.6062886;0.39222693;0.0044365246;0.66526526;0.31502923;0.7534267;0.9272644;0.62806785;0.2898898;;0;48
106;0.31315488;1.4114592;1.0029569;0.38610598;0.8610071;0.7113238;0.69756573;0.21919279;0.6391156;0.9324502;0.32087967;0.9771092;0.35697442;0.17538999;0.5717604;;0;28
107;0.5834502;0.10094319;1.5760734;0.7712134;0.109062485;0.26138172;0.73518413;0.1456495;0.35412169;0.6109394;0.07317958;0.30020884;0.67257994;0.4658285;0.89897865;;0;49
108;0.13256031;0.06865447;2.2102356;0.95706654;0.30422384;0.044701234;0.4309385;0.0038201287;0.96616423;0.13404305;0.8557393;0.5835825;0.5382417;0.8186255;0.08859302;;0;50
109;0.7297304;1.6150273;0.26941097;0.09604207;0.7298305;0.16231488;0.49861857;0.14372393;0.5329759;0.27992648;0.017572999;0.20546076;0.09323074;0.6210431;0.44990975;;0;33
110;1.1380622;1.0230716;0.0034763329;0.0014461726;0.46615833;0.8743281;0.76152486;0.49889147;0.4526617;0.12604433;0.62507606;0.7545411;0.6318091;0.7853707;0.5217016;;0;17
111;1.6672204;0.3597257;1.3429039;0.42461482;0.13528556;0.7684306;0.8096701;0.09099795;0.028668582;0.30110943;0.15935247;0.2904474;0.03288865;0.21080032;0.8347893;;0;49
112;1.1572686;1.1209931;0.09421974;0.037186384;0.4898643;0.7113238;0.6960501;0.21919279;0.5023305;0.34759378;0.72735065;0.9946414;0.37272066;0.16652547;0.5706278;;0;24
113;0.32926702;1.2954583;0.90877444;0.3801267;0.84154546;0.23640534;0.59958833;0.21274717;0.35710365;0.9307647;0.32240105;0.73733974;0.8970144;0.5411309;0.535321;;0;27
114;1.5203917;0.13870145;0.07129539;0.029707832;0.05791688;0.25340533;0.6094431;0.22477704;0.50075126;0.84995127;0.7288726;0.7439019;0.73973763;0.7335864;0.3170774;;0;20
115;0.65916556;0.69810724;1.6749256;0.6686334;0.51826036;0.8545085;0.9678354;0.019104756;0.5396348;0.33650723;0.15589637;0.2974867;0.9074949;0.5279357;0.51563203;;0;54
116;1.8327787;0.14910719;0.43780714;0.14880209;0.051678892;0.9397698;0.22279646;0.20494547;0.49324834;0.23617235;0.6524076;0.9024822;0.82445765;0.82668364;0.7570453;;0;26
117;0.20237678;1.5044069;1.4173146;0.47818038;0.9148713;0.57873464;0.19973694;0.95358574;0.25929266;0.08664462;0.8159286;0.57659507;0.4680773;0.0054147243;0.9410894;;0;52
118;0.37597287;1.4340469;0.39808095;0.16700423;0.8367673;0.8193837;0.2632627;0.72754115;0.5582154;0.25110114;0.51501393;0.73506963;0.75420666;0.36302352;0.84784675;;0;31
119;0.7322114;1.66915;0.576268;0.19494513;0.7368247;0.06303674;0.55732083;0.92752796;0.98921514;0.5027379;0.11893254;0.73667693;0.44435558;0.7422872;0.67957604;;0;34
120;1.4679657;0.67439806;0.023911135;0.009422156;0.27416134;0.7324965;0.83254516;0.17461126;0.80901223;0.2774328;0.51517075;0.8187386;0.27680594;0.7162491;0.45879832;;0;20
121;0.7161691;1.0896014;1.10513;0.44759327;0.62982255;0.8166944;0.35549235;0.800114;0.50954634;0.66463566;0.9283931;0.048968703;0.33352035;0.69098943;0.35986456;;0;42
122;0.19651212;1.8951243;0.6090982;0.19698317;0.9342217;0.81094474;0.7287762;0.40190884;0.17229119;0.10909966;0.38797867;0.8528215;0.03200935;0.17263936;0.84383583;;0;28
123;1.8566302;0.12486471;0.45888534;0.15392141;0.04275047;0.802295;0.062709026;0.36151108;0.8114096;0.50622946;0.68703955;0.39633322;0.8010092;0.89136523;0.977773;;0;26
124;1.3120037;0.8912729;0.18922555;0.07559286;0.37987918;0.16231488;0.42730108;0.34323293;0.5501559;0.27823755;0.29709628;0.21878545;0.13841572;0.84343165;0.68117315;;0;24
125;0.70213956;1.4800913;0.4173388;0.15880463;0.7180093;0.40452752;0.8797348;0.12191835;0.43141952;0.17425536;0.07170744;0.32333994;0.7096088;0.34681937;0.46258765;;0;33
126;0.74862593;1.9526178;0.18142168;0.05509165;0.76692635;0.87849545;0.8725425;0.38342872;0.97219557;0.11967796;0.20637181;0.8730185;0.69741374;0.09546198;0.5884958;;0;34
127;0.040394317;0.07582157;1.8511035;0.9704754;0.68837017;0.83224845;0.19207504;0.15646294;0.714242;0.97425556;0.12467388;0.22531083;0.61317164;0.5345731;0.6694894;;0;48
128;1.4759343;0.010730168;1.1196254;0.41314194;0.0046281987;0.06732602;0.42584366;0.15598059;0.4244454;0.83984166;0.17188394;0.20691453;0.4244726;0.8954959;0.24574666;;0;43
129;0.0244368;1.525636;0.8483574;0.3230435;0.98980385;0.096130565;0.22070895;0.34822544;0.57018423;0.75522715;0.8029479;0.015702732;0.5836255;0.23541269;0.5909868;;0;23
130;0.45780253;1.5482572;0.31027862;0.12087177;0.8169737;0.35706472;0.9802913;0.87927365;0.22695881;0.46589714;0.30797973;0.19348103;0.46095553;0.7009466;0.5257739;;0;32
131;1.3326501;1.6136161;0.032630317;0.009925294;0.5605272;0.8397189;0.093887515;0.48858267;0.0044006854;0.14607316;0.34460512;0.12248736;0.45132276;0.06137666;0.78329813;;0;31
132;0.959;1.5371653;0.026511969;0.009315044;0.6448996;0.3902381;0.093887515;0.91527563;0.21298788;0.4588982;0.8928597;0.1724267;0.6504343;0.51981014;0.8062956;;0;30
133;1.1664488;0.103457645;1.0259086;0.4580089;0.05631733;0.4862064;0.18224826;0.9089183;0.8828516;0.46780908;0.39772385;0.782233;0.46188325;0.7185027;0.5394934;;0;30
134;0.17806411;0.636949;1.6802158;0.7612699;0.8264583;0.8303156;0.8041904;0.675205;0.17539081;0.15994747;0.6994041;0.3665957;0.44698718;0.10980632;0.12619324;;0;52
135;1.1478943;0.023184389;0.14617194;0.08061643;0.012856265;0.38284433;0.44872725;0.22725098;0.53159183;0.4507401;0.54587615;0.65595025;0.32518104;0.45034224;0.43858173;;0;17
136;1.6554409;0.86224437;0.16725297;0.05689311;0.30569968;0.4680916;0.502256;0.02338025;0.93999565;0.13404305;0.3444829;0.20244324;0.46238852;0.68683255;0.08859302;;0;24
137;0.09017431;0.12704284;1.8252544;0.9457934;0.60703415;0.004559368;0.093887515;0.90790796;0.2323331;0.46721634;0.7959739;0.5579243;0.5284681;0.6018286;0.78329813;;0;49
138;1.1064746;0.9466038;0.06800009;0.029707832;0.45052695;0.2346889;0.59958833;0.21274717;0.50531805;0.34729028;0.7288726;0.7439019;0.8970144;0.53225535;0.5320181;;0;19
139;0.824312;1.3949306;0.33839208;0.13107234;0.6602191;0.28838766;0.34830162;0.73946494;0.35631144;0.6389117;0.3190286;0.6774724;0.15062688;0.06737547;0.15839759;;0;27
140;0.5272168;0.01359805;2.2936883;0.85612154;0.016416147;0.82899505;0.90364605;0.9616875;0.9477073;0.20948121;0.19676937;0.5040562;0.8784614;0.073471;0.091040224;;0;52
141;0.5943413;1.8989242;0.5050568;0.15824962;0.80689424;0.17985319;0.9388191;0.0068573207;0.7892644;0.3415797;0.8622905;0.6269765;0.79215264;0.56161356;0.91148144;;0;35
142;0.003661654;1.2178952;1.188625;0.4922558;0.998086;0.63169366;0.21154097;0.5404165;0.5725824;0.80489784;0.82436186;0.42571214;0.7800988;0.014567122;0.22332244;;0;43
